alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.2,0.9,0.4,1.6,0.0031756130383619177
0.6,0.1,0.4,1.4,0.00317784884243618
0.2,0.7,0.4,2.0,0.003201297890976019
0.3,0.9,0.5,1.2,0.003202538201596306
0.3,0.6,0.4,2.2,0.003206730966590758
0.1,0.3,0.3,2.0,0.0032125055508753146
0.3,0.6,0.5,1.2,0.0032256980388975873
0.4,0.1,0.3,2.8,0.0032329691842423397
0.3,0.2,0.4,1.2,0.0032336726635468173
0.3,0.8,0.4,1.8,0.003235169523461242
0.3,0.1,0.4,1.2,0.003242637706217263
0.3,0.6,0.5,1.0,0.003243466348607528
0.3,0.1,0.3,2.6,0.0032462374729414823
0.4,0.1,0.5,1.0,0.003255323181262583
0.6,0.2,0.6,1.0,0.003280302811223938
0.5,0.5,0.6,1.0,0.003282461593901662
0.3,0.5,0.5,1.0,0.00328753888070793
0.5,0.5,0.5,1.2,0.003289784730889022
0.1,0.7,0.3,2.2,0.003301842894391017
0.8,0.2,0.5,1.4,0.003309044127502936
0.8,0.2,0.4,2.0,0.003317547351178381
0.2,0.2,0.3,2.6,0.0033241963088412136
0.3,0.7,0.4,1.6,0.003338879428574492
0.9,0.1,0.6,1.0,0.0033509819647206595
0.4,0.8,0.5,1.4,0.003372317611773247
0.3,0.6,0.3,2.8,0.003378385199239895
0.9,0.1,0.4,1.8,0.0033812426874656057
0.5,0.6,0.6,1.0,0.0033874028155290864
0.3,0.4,0.4,2.0,0.0033890626967120556
0.1,0.5,0.3,2.0,0.0034016313616482474
0.7,0.2,0.4,2.2,0.0034028439987098423
0.2,0.7,0.4,1.4,0.003403022002361458
0.4,0.5,0.4,1.6,0.0034117344805442043
0.3,0.7,0.5,1.0,0.0034117823730517804
0.7,0.3,0.6,1.0,0.003426930921374822
0.4,0.6,0.4,1.8,0.0034402797010605066
0.7,0.3,0.5,1.4,0.0034534934709087427
0.4,0.4,0.4,2.2,0.0034811674568296313
0.5,0.3,0.4,2.2,0.0034815529611999666
0.3,0.9,0.5,1.4,0.00348742587347038
0.2,0.4,0.4,1.6,0.003488022209906798
0.2,0.1,0.3,1.8,0.003490675518082748
0.5,0.5,0.4,2.2,0.003542696252838197
0.1,0.3,0.3,2.4,0.003544458537281851
0.5,0.6,0.5,1.4,0.0035532972601135583
0.6,0.2,0.5,1.0,0.0035547042637932807
0.5,0.4,0.6,1.0,0.0035653663958252944
0.2,0.5,0.4,1.8,0.0035667405748480508
0.3,0.8,0.5,1.4,0.0035856239065019707
0.8,0.2,0.6,1.0,0.003590866344891254
0.8,0.2,0.4,2.2,0.0035944437331276954
0.5,0.5,0.4,2.0,0.0035995064980063477
0.3,0.4,0.5,1.0,0.003614709339862275
0.4,0.4,0.5,1.4,0.003622464309559816
0.2,0.8,0.3,2.8,0.0036224987530091425
0.2,0.4,0.3,2.0,0.0036303243695592724
0.2,0.9,0.4,2.2,0.003666350763653666
0.6,0.1,0.3,2.2,0.0036936624492362787
0.6,0.1,0.5,1.4,0.0037043372708128446
0.5,0.5,0.5,1.6,0.0037131453449935985
0.3,0.9,0.4,2.0,0.0037210730535131376
0.3,0.8,0.5,1.0,0.0037366366990551174
0.6,0.4,0.5,1.6,0.0037482007056859256
0.9,0.1,0.4,2.2,0.003764657257856654
0.3,0.5,0.5,1.2,0.003778218574464168
0.3,0.9,0.4,2.2,0.003779215704263085
0.5,0.7,0.6,1.0,0.0037808356305751066
0.7,0.3,0.4,2.2,0.003782582710371292
0.3,0.3,0.4,1.2,0.003785865378409678
0.3,0.1,0.3,1.8,0.0038115851327803056
0.2,0.2,0.3,1.8,0.003831337117428732
0.6,0.4,0.4,2.2,0.0038320655162631355
0.7,0.3,0.5,1.6,0.0038388440732294933
0.8,0.2,0.5,1.6,0.0038496439626445273
0.2,0.3,0.4,1.4,0.0038543116189772115
0.4,0.2,0.5,1.2,0.003859211518563065
0.6,0.5,0.6,1.0,0.003886979162493653
0.4,0.7,0.5,1.6,0.003895174171109902
0.6,0.2,0.4,2.2,0.0038994561360920113
0.7,0.1,0.5,1.0,0.00391043559092456
0.4,0.6,0.5,1.0,0.0039117687826367405
0.3,0.4,0.3,2.2,0.003912679590762463
0.4,0.7,0.4,2.2,0.003919481056909589
0.5,0.6,0.5,1.6,0.003921875919901439
0.7,0.3,0.4,2.0,0.003940151706287865
0.3,0.7,0.5,1.4,0.003948860700940605
0.5,0.2,0.5,1.4,0.003956350506675695
0.1,0.9,0.3,2.4,0.00395944802597936
0.4,0.8,0.5,1.2,0.003960376815705888
0.6,0.3,0.5,1.6,0.003964380653177958
0.2,0.8,0.4,1.4,0.003971324188682351
0.9,0.1,0.5,1.6,0.003988868057797537
0.4,0.8,0.5,1.6,0.003990941436324177
0.2,0.8,0.4,2.2,0.00399930281422395
0.2,0.6,0.4,2.0,0.004003136031076587
0.3,0.5,0.3,2.4,0.004007914349413979
0.6,0.3,0.3,2.8,0.0040351568596244634
0.1,0.2,0.3,2.0,0.004037212362700592
0.7,0.2,0.5,1.6,0.00406634971030544
0.8,0.1,0.4,2.2,0.004069274830696241
0.6,0.4,0.4,2.0,0.004072062417198546
0.4,0.9,0.6,1.0,0.004081776307391539
0.4,0.8,0.6,1.0,0.004084574527813995
0.4,0.7,0.4,2.0,0.0040944634137239505
0.4,0.9,0.5,1.4,0.004101755246453429
0.9,0.1,0.3,2.6,0.004103192426974102
0.3,0.5,0.4,2.2,0.004111794046730644
0.1,0.6,0.3,2.0,0.004144630900047485
0.8,0.1,0.4,1.6,0.004153544052595652
0.3,0.9,0.5,1.0,0.004174347567386481
0.4,0.6,0.4,2.4,0.0041781217740291575
0.3,0.8,0.4,2.4,0.00417934518357207
0.4,0.4,0.4,1.4,0.004181269465699124
0.5,0.4,0.5,1.6,0.004185629385022492
0.3,0.6,0.4,1.4,0.004189212251852603
0.4,0.6,0.5,1.6,0.0042112506185730675
0.5,0.4,0.5,1.0,0.004218115618605687
0.1,0.4,0.3,2.8,0.004218208881115569
0.2,0.4,0.4,1.2,0.0042208849453351256
0.4,0.2,0.4,1.2,0.004258613432982293
0.2,0.1,0.3,2.4,0.004261994633999129
0.9,0.2,0.4,2.2,0.004271590211745285
0.4,0.1,0.4,1.8,0.004276262582211079
0.4,0.7,0.6,1.0,0.004278856531836899
0.2,0.3,0.4,1.2,0.004297957881556247
0.4,0.5,0.3,2.8,0.0043083909295186535
0.3,0.3,0.5,1.0,0.0043135828904061245
0.1,0.8,0.3,2.2,0.004329195614357176
0.3,0.7,0.4,2.4,0.004347642628969505
0.5,0.3,0.6,1.0,0.004358901773024748
0.3,0.3,0.3,2.0,0.004366495557965088
0.6,0.2,0.3,2.4,0.004380033655040448
0.2,0.7,0.3,2.4,0.004382763427341035
0.5,0.8,0.6,1.0,0.0043835509523771935
0.4,0.9,0.5,1.6,0.004401854156693055
0.9,0.2,0.5,1.6,0.004404834234165157
0.3,0.9,0.4,1.8,0.004406397391075544
0.8,0.2,0.6,1.2,0.004408295014393647
0.7,0.2,0.3,2.6,0.004409254174635076
0.9,0.1,0.6,1.2,0.004414742490170204
0.1,0.3,0.3,1.8,0.004415235649173094
0.6,0.5,0.5,1.6,0.00443995893365691
0.5,0.5,0.4,2.4,0.004440816568346986
0.1,0.2,0.3,2.2,0.004461191772767677
0.2,0.5,0.4,1.2,0.0044731277760449275
0.3,0.9,0.4,2.4,0.004473149436151495
0.5,0.2,0.3,2.2,0.004475145301893856
0.7,0.3,0.6,1.2,0.0044841649744586255
0.6,0.4,0.5,1.2,0.004508000578228173
0.8,0.1,0.5,1.6,0.004512126604727529
0.4,0.7,0.4,2.4,0.004525468485956375
0.5,0.1,0.3,2.0,0.004533045217615555
0.2,0.6,0.3,2.2,0.004535041215006741
0.8,0.2,0.3,2.8,0.004548631792516566
0.4,0.3,0.3,2.2,0.004552068978257885
0.5,0.4,0.3,2.8,0.004553753280801707
0.6,0.1,0.6,1.0,0.0045555229580231255
0.3,0.8,0.4,1.6,0.004572790794312294
0.4,0.2,0.4,2.0,0.004575753725065623
0.3,0.6,0.3,2.6,0.0045835923453122875
0.4,0.5,0.4,2.4,0.004583846042474566
0.1,0.2,0.3,1.8,0.004604975575574381
0.6,0.5,0.6,1.2,0.004623506938991016
0.5,0.4,0.4,1.6,0.004624959781833284
0.5,0.4,0.4,2.4,0.004647979390311745
0.3,0.6,0.5,1.4,0.00465108402042332
0.5,0.7,0.5,1.6,0.00465360514387452
0.2,0.8,0.3,2.6,0.004673674022875928
0.2,0.9,0.4,1.4,0.0046805032224237165
0.6,0.5,0.5,1.4,0.0046926348561602
0.6,0.4,0.4,2.4,0.004701589189335505
0.5,0.6,0.5,1.2,0.004711102897209471
0.9,0.1,0.5,1.2,0.004722236314647558
0.4,0.6,0.6,1.0,0.004722847158922046
0.6,0.4,0.6,1.2,0.004724746893537933
0.1,0.9,0.4,1.6,0.004728652946059508
0.3,0.4,0.5,1.2,0.00474144363507339
0.2,0.7,0.4,2.2,0.004742914070897468
0.8,0.2,0.4,1.8,0.004746555954338862
0.3,0.4,0.4,1.2,0.00475337509457579
0.5,0.1,0.4,1.2,0.004766633065736043
0.1,0.4,0.3,1.8,0.004767781624346947
0.4,0.2,0.3,2.0,0.004775819877129458
0.9,0.2,0.6,1.2,0.0047785509730230834
0.9,0.2,0.4,2.0,0.0047837604539512826
0.5,0.5,0.4,1.8,0.0047855815223153235
0.3,0.9,0.5,1.6,0.004789242202943682
0.5,0.7,0.5,1.4,0.004794793160314649
0.7,0.4,0.6,1.2,0.004796302588561582
0.8,0.3,0.5,1.6,0.004800652040285157
0.2,0.2,0.4,1.2,0.004811252107463728
0.8,0.1,0.3,2.4,0.004821260133649084
0.1,0.3,0.3,2.6,0.00482273048687092
0.5,0.7,0.6,1.2,0.004829015082262756
0.7,0.4,0.5,1.6,0.004831882007886516
0.2,0.3,0.4,1.6,0.004862615499382546
0.7,0.4,0.6,1.0,0.004866124969077101
0.5,0.1,0.4,2.0,0.004872670719091876
0.3,0.1,0.4,1.6,0.0048774623657833645
0.7,0.1,0.4,2.2,0.0048823176693301796
0.2,0.3,0.3,1.8,0.0048879672971038676
0.7,0.3,0.4,2.4,0.00488844451376068
0.4,0.7,0.5,1.0,0.004920498571078142
0.8,0.3,0.6,1.2,0.004929056782927825
0.4,0.4,0.3,2.4,0.004937054707246433
0.3,0.2,0.4,1.8,0.0049485081340316095
0.4,0.9,0.5,1.2,0.004951468562546803
0.2,0.4,0.4,1.8,0.004956424408333876
0.2,0.6,0.4,1.2,0.00496881714532154
0.5,0.6,0.6,1.2,0.004972844678014401
0.5,0.6,0.4,2.2,0.004975608040845139
0.1,0.8,0.4,1.6,0.0050040328870885045
0.6,0.3,0.4,2.4,0.005011549397306783
0.6,0.6,0.6,1.0,0.00501199318340422
0.5,0.8,0.6,1.2,0.005013953489244205
0.4,0.3,0.5,1.4,0.0050388496701372736
0.1,0.9,0.4,1.8,0.005055250895288745
0.4,0.5,0.5,1.6,0.005057463826299396
0.9,0.2,0.5,1.4,0.005068712504880133
0.6,0.6,0.6,1.2,0.005074661975751896
